chunk_token_length,overlap_percentage,retriever,embedder,mmr_fetch_k,mmr_lambda_mult,gen_model,1 - accuracy,number of documents,1 - rouge1_gold,rouge1_gold,1 - rouge2_gold,rouge2_gold,1 - rougeL_gold,rougeL_gold,1 - bert_f1_gold,bert_f1_gold,1 - bert_precision_gold,bert_precision_gold,1 - bert_recall_gold,bert_recall_gold,1 - emb_sim_gold,emb_sim_gold,1 - rouge1_query,rouge1_query,1 - rouge2_query,rouge2_query,1 - rougeL_query,rougeL_query,1 - bert_f1_query,bert_f1_query,1 - emb_sim_query,emb_sim_query,1 - rouge1_context,rouge1_context,1 - rouge2_context,rouge2_context,1 - rougeL_context,rougeL_context,1 - bert_f1_context,bert_f1_context,1 - emb_sim_context,emb_sim_context,status,error
437,0.4472013921921,bm25_only,qwen3-embedding-0.6b,,,google/gemma-3-4b-it,0.71,1.0,0.8071810792747053,0.19281892072529475,0.9297111753772583,0.0702888246227417,0.8665343826496825,0.1334656173503175,0.3434494733810425,0.6565505266189575,0.2859857678413391,0.7140142321586609,0.38432973623275757,0.6156702637672424,0.5070201829366945,0.4929798170633055,0.8878676467269694,0.1121323532730306,0.9513094750846262,0.048690524915373866,0.9112015872898993,0.08879841271010072,0.3411036729812622,0.6588963270187378,0.5282768173754097,0.47172318262459034,0.8145111570086763,0.1854888429913237,0.8891132479404029,0.11088675205959704,0.8633783662083057,0.13662163379169434,0.37287473678588867,0.6271252632141113,0.4900144205659852,0.5099855794340148,,
437,0.4479299679154,bm25_only,qwen3-embedding-0.6b,,,google/gemma-3-4b-it,0.52,3.0,0.7198773529552542,0.2801226470447458,0.876560909125618,0.12343909087438201,0.80629435358674,0.1937056464132601,0.30962467193603516,0.6903753280639648,0.2781245708465576,0.7218754291534424,0.33105629682540894,0.6689437031745911,0.38349547419250396,0.616504525807496,0.8390330061114297,0.16096699388857033,0.9213920252763621,0.07860797472363784,0.8737905325227364,0.12620946747726358,0.3232976794242859,0.6767023205757141,0.4214282571747898,0.5785717428252102,0.8877534517938823,0.11224654820611764,0.9324309759623604,0.06756902403763969,0.9152800856711898,0.08471991432881022,0.35260170698165894,0.6473982930183411,0.4005816880383165,0.5994183119616835,,
404,0.422534498778,bm25_only,qwen3-embedding-4b,,,google/gemma-3-4b-it,0.52,4.0,0.7273408910475716,0.27265910895242834,0.8867165101183361,0.11328348988166395,0.8080419594383302,0.19195804056166973,0.3104590177536011,0.6895409822463989,0.27968066930770874,0.7203193306922913,0.331993043422699,0.668006956577301,0.38611352343399985,0.6138864765660001,0.8459416898921086,0.15405831010789137,0.9266714168735691,0.07332858312643091,0.8804350937211874,0.11956490627881257,0.3283640146255493,0.6716359853744507,0.4073362504079263,0.5926637495920737,0.900344037621608,0.09965596237839205,0.9376969086054241,0.06230309139457596,0.9214612845547167,0.07853871544528335,0.35774725675582886,0.6422527432441711,,,,
369,0.4977130891516,mmr,qwen3-embedding-0.6b,69,0.8489198250661,google/gemma-3-4b-it,0.45999999999999996,7.0,0.6675447889485999,0.33245521105140013,0.8644523856718793,0.13554761432812062,0.7726147346142935,0.22738526538570653,0.2835407257080078,0.7164592742919922,0.2790074348449707,0.7209925651550293,0.2856164574623108,0.7143835425376892,0.26720191721248565,0.7327980827875143,0.8103918473480003,0.18960815265199968,0.9056077629552893,0.09439223704471068,0.8518549998284048,0.14814500017159518,0.3178865313529968,0.6821134686470032,0.29102127170040515,0.7089787282995949,0.9018977027869679,0.09810229721303204,0.9460114359387485,0.05398856406125148,0.9287631481411143,0.07123685185888574,0.2993714213371277,0.7006285786628723,0.25287777021765123,0.7471222297823488,,
218,0.4923760015809,mmr,granite-embedding-278m,57,0.4656923386395,google/gemma-3-4b-it,0.4,7.0,0.6797834743619142,0.32021652563808584,0.8772150878208982,0.12278491217910187,0.7859080446430676,0.21409195535693235,0.28851479291915894,0.7114852070808411,0.28358936309814453,0.7164106369018555,0.29104191064834595,0.708958089351654,0.1488064416559085,0.8511935583440915,0.815207219562313,0.18479278043768702,0.9078604435881182,0.09213955641188179,0.8557665584623437,0.14423344153765627,0.31850630044937134,0.6814936995506287,0.14855196912314073,0.8514480308768593,0.8806911247917346,0.11930887520826536,0.9340859403979989,0.0659140596020011,0.9172428951981072,0.08275710480189277,0.3077199459075928,0.6922800540924072,0.14837763324573738,0.8516223667542626,,
104,0.4785694231977,mmr,granite-embedding-107m,43,0.1111382964922,google/gemma-3-12b-it,0.54,7.0,0.6911590797432223,0.30884092025677773,0.8672738092050682,0.13272619079493178,0.7773751230946588,0.22262487690534113,0.2890062928199768,0.7109937071800232,0.268626868724823,0.731373131275177,0.30408239364624023,0.6959176063537598,0.17106516191536325,0.8289348380846367,0.7964619499903165,0.20353805000968347,0.8960663212432507,0.10393367875674929,0.8355569152458107,0.1644430847541894,0.3087354898452759,0.6912645101547241,0.18116562079190313,0.8188343792080969,0.8219571340109315,0.17804286598906846,0.871332254080233,0.12866774591976704,0.8581609745822498,0.1418390254177502,0.30595266819000244,0.6940473318099976,0.17700788320841865,0.8229921167915814,,
207,0.4815555630979,mmr,qwen3-embedding-0.6b,44,0.3797697659884,google/gemma-3-12b-it,0.32999999999999996,7.0,0.6426924886573406,0.35730751134265937,0.8310006479239103,0.1689993520760897,0.7428547173418729,0.25714528265812714,0.27474451065063477,0.7252554893493652,0.2698458433151245,0.7301541566848755,0.2777875065803528,0.7222124934196472,0.24576050205465816,0.7542394979453418,0.7996769195328219,0.2003230804671781,0.8990942409769989,0.10090575902300113,0.8428489142074769,0.15715108579252315,0.31403595209121704,0.685964047908783,0.27436831466606226,0.7256316853339377,0.8329658150576058,0.16703418494239422,0.8851600306711,0.11483996932889994,0.8707784875594347,0.12922151244056537,0.2903898358345032,0.7096101641654968,0.21866638603028254,0.7813336139697175,,
362,0.4726868445918,mmr,qwen3-embedding-4b,47,0.5126564256812,google/gemma-3-4b-it,0.31000000000000005,8.0,0.6482477525123941,0.3517522474876059,0.8561788384643184,0.1438211615356816,0.7666656843611818,0.23333431563881823,0.2799345850944519,0.7200654149055481,0.2792438268661499,0.7207561731338501,0.2793261408805847,0.7206738591194153,0.22968382045409008,0.7703161795459099,0.8106847606433396,0.18931523935666036,0.9076215804569951,0.09237841954300481,0.8519701546521916,0.14802984534780836,0.31961119174957275,0.6803888082504272,0.2454185311771836,0.7545814688228164,0.9105579351162993,0.08944206488370071,0.9507728813951496,0.049227118604850455,0.9360954718074621,0.06390452819253793,0.2992338538169861,0.7007661461830139,,,,
235,0.4812462537642,mmr,granite-embedding-278m,48,0.518374404945,google/gemma-3-12b-it,0.47,7.0,0.6641085413089525,0.33589145869104753,0.8541536927643183,0.1458463072356817,0.7601280367619381,0.23987196323806198,0.27918583154678345,0.7208141684532166,0.27238357067108154,0.7276164293289185,0.2843618392944336,0.7156381607055664,0.13643070586870376,0.8635692941312962,0.7992425770569256,0.2007574229430744,0.8976430540448593,0.10235694595514065,0.839388264046447,0.16061173595355308,0.311693012714386,0.688306987285614,0.1459302384094302,0.8540697615905698,0.8944956923377442,0.1055043076622558,0.9325206126311287,0.06747938736887124,0.9183247099656747,0.08167529003432525,0.29796385765075684,0.7020361423492432,0.14347826896765337,0.8565217310323466,,
266,0.1022817033227,ensemble,granite-embedding-278m,,,qwen/qwen3-8b,0.56,5.0,0.7297917773622489,0.2702082226377512,0.9052202225864872,0.0947797774135128,0.819107114719244,0.18089288528075595,0.3033006191253662,0.6966993808746338,0.2875218391418457,0.7124781608581543,0.31269967555999756,0.6873003244400024,0.18257622772941062,0.8174237722705894,0.8184997963228193,0.18150020367718064,0.8916745696565537,0.10832543034344636,0.8483418783146779,0.15165812168532208,0.31676626205444336,0.6832337379455566,0.18970337837892814,0.8102966216210719,0.8901182931092319,0.10988170689076818,0.961935035165839,0.03806496483416099,0.933489899296506,0.0665101007034939,0.34628766775131226,0.6537123322486877,0.23869909602968775,0.7613009039703122,,
